Source_Index,Target_Index,Cited_Doc_Num,Citation_Text
120,121,청년사업담당관-1504,"...년수당 서류검증단 및 전담 콜센터 운영 용역」 우선 협상 대상자 선정 통보 및 계약 의뢰(청년사업담당관-1504, 2025. 2. 14.) 관련입니다. 2.  우선협상대상자와 시행한 '용역계약협상서'를..."
116,117,청년사업담당관-1743,...요청'입니다.  본문 내용은 다음과 같이 세 가지 항목으로 구성되어 있습니다.  1.  청년사업담당관-1743(2025. 2. 20.)호와 관련됩니다. 2.  우리 시는 청년정책 홍보를 위해 '202...
137,143,청년사업담당관-566,"...부분으로 구성되어 있습니다.  첫째, 이 문서는 2025년 서울 청년수당 사업 운영계획(청년사업담당관-566, 2025.1.16.)호와 관련하여 작성되었습니다.  둘째, 2025년 서울 청년수당 사..."
4,5,청년사업담당관-11984,"...며, 경유 기관은 지정되어 있지 않습니다.  본문은 다음과 같습니다. 1. 미래청년기획관 청년사업담당관-11984(2025. 12. 10.)호와 관련됩니다. 2. 귀 부서에 예산 변경사용(붙임 참조)에..."
115,143,청년사업담당관-566,...*  **제목 2025년 서울 청년수당 참여자 모집 관련 홍보물 제작비 지급**  1.  청년사업담당관-566(2025.1.16)호 관련입니다. 2.  2025년 서울 청년수당 참여자 모집 관련 홍보...
132,137,청년사업담당관-916,"...6, 2025년 1월 16일) *   콜센터 운영 용역 입찰공고 의뢰(긴급) (문서번호: 청년사업담당관-916, 2025년 1월 24일)  #### 과업개요 *   **과업명:** 2025년 서울 청..."
132,143,청년사업담당관-566,"...사업개요  #### 추진근거 *   2025년 서울 청년수당 사업 운영계획 (문서번호: 청년사업담당관-566, 2025년 1월 16일) *   콜센터 운영 용역 입찰공고 의뢰(긴급) (문서번호: 청..."
166,170,청년사업담당관-3974,...어 있습니다. 제목은 '2024년 서울 청년수당 10월 지급분 반납품의(1건)'입니다.  청년사업담당관-3974(2024.10.22.)호와 관련하여 아래와 같이 반납처리 하고자 합니다.  가. 건 명...
56,143,청년사업담당관-566,"...재  (경유) 청년사업담당관  ### 제목: 2025년 서울 청년수당 6월분 추가 지급  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
122,123,청년사업담당관-1485,...'25 청년수당 서류검증단 및 전담 콜센터 운영 용역 제안서평가회 심사 수당 지급  1. 청년사업담당관-1485(2025.2.13.)호 관련입니다. 2. 「2025년 서울 청년수당 서류검증단 및 전담...
20,25,청년사업담당관-9281,...** **(경유)** **제목 2025년 서울 청년수당 9월 지급분 반납품의(2건)**  청년사업담당관-9281(2025.9.22.)호와 관련하여 아래와 같이 반납처리 하고자 합니다.  가. 건 명 :...
15,143,청년사업담당관-566,"...경유 절차는 없습니다. 제목은 **2025년 서울 청년수당 10월분 추가지급**입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
93,143,청년사업담당관-566,"...라고 기재되어 있습니다.  제목은 '2025년 서울 청년수당 4월분 추가 지급'입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
12,13,청년사업담당관-11290,"...습니다. 제목은 ""예비비 사용 승인 요청""입니다.  첫 번째 요청 사항은 ""미래청년기획관 청년사업담당관-11290(2025. 11. 20.)호와 관련됩니다.""라는 내용입니다.  두 번째 요청 사항은 ""귀..."
39,143,청년사업담당관-566,"...목은 비어 있습니다. 문서의 제목은 '2025년 서울 청년수당 7월분 추가지급'입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
98,143,청년사업담당관-566,"...있습니다. 제목은 '2025년 서울 청년수당 4월분 추가 지급'입니다.  본문의 시작은 ""청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
47,49,청년사업담당관-7243,...관'이 기재되어 있습니다.  ## 2025년 서울 청년수당 7월 지급분 반납품의(2건)  청년사업담당관-7243(2025.7.24.)호와 관련하여 아래와 같이 반납처리 하고자 합니다.  가. 건 명:...
33,143,청년사업담당관-566,"...경유 정보는 비어 있습니다. 제목은 '2025년 서울 청년수당 7월분 추가지급'입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
121,123,청년사업담당관-1485,"...서울 청년수당 서류검증단 및 전담 콜센터 운영 용역」 제안서 평가위원회 개최 결과 보고(청년사업담당관-1485, 2025.2.13.)호와 관련이 있습니다. 2.  「2025년 서울 청년수당 서류검증단..."
106,117,청년사업담당관-1743,"...있지 않습니다.  본문의 내용은 두 가지 항목으로 구성되어 있습니다. 첫 번째 항목은 ""청년사업담당관-1743(2025.2.20.)호 관련입니다.""입니다. 두 번째 항목은 ""아래와 같이 SETEC 전..."
214,222,청년사업담당관-837,"...는 수신처로 '내부결재'가 명시되어 있으며, 경유 경로는 비어 있습니다. 제목 아래에는 ""청년사업담당관-837(2024.7.22.), 997(2024.7.24.)호와 관련하여 아래와 같이 반납처리하고..."
87,143,청년사업담당관-566,"...**(경유)** 청년사업담당관  **제목** 2025년 서울 청년수당 4월분 추가 지급  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
91,99,청년사업담당관-4216,...결재 **(경유)** **제목** 2025년 서울 청년수당 5월 지급분 반납품의(3건)  청년사업담당관-4216(2025.4.24.)호와 관련하여 아래와 같이 반납처리 하고자 합니다.  가. 건 명 :...
195,201,청년사업담당관-2093,"...는 없습니다.  제목은 ""2024년 서울 청년수당 8월 지급분 반납품의(1건)""입니다.  청년사업담당관-2093(2024.8.26.)호와 관련하여 아래와 같이 반납처리 하고자 합니다.  가. 건 명:..."
196,197,청년사업담당관-2280,"...문서의 본문 내용은 다음과 같습니다.  1.  귀 기관의 협조에 감사드립니다. 2.  청년사업담당관-2280(2024.8.30., ""서울 청년수당 예금주 불일치 건 지급처리 요청"") 호 관련, 날인..."
159,160,청년사업담당관-4751,...청년사업담당관)_긴급사유소명서 추가제출'입니다.  본문의 내용은 다음과 같습니다. 1. 청년사업담당관-4751(2024.11.14)호와 관련됩니다. 2. 행복e음 시스템을 통해 제출한 '사회보장제도...
5,13,청년사업담당관-11290,"...25년 11월, 청년수당 예산 확보를 위한 예비비 사용계획이 수립되었습니다. (문서번호: 청년사업담당관-11290)  ### 사업개요  **사업 대상**: 이 사업은 만 19세부터 34세까지의 서울에 거..."
5,143,청년사업담당관-566,"...입니다.  *   2025년 1월, 청년수당 사업 운영계획이 수립되었습니다. (문서번호: 청년사업담당관-566) *   2025년 3월, 청년수당 참여자를 1차 모집했습니다. *   2025년 6월,..."
