Index,Document Name,URL,Date,Department,Author,Original_File_Path,PDF_File_Path
1,2025년 서울 청년수당 12월분 지급(2차),https://opengov.seoul.go.kr/sanction/35027731?from=policy&tid=32175351,2025-12-17,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/1_original.hwpx,
2,[회신]「으뜸관악 청년통장」만기대상자 유사사업 중복지원 조회 요청,https://opengov.seoul.go.kr/sanction/35005313?from=policy&tid=32175351,2025-12-15,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/2_original.hwpx,
3,법률자문 결과 알림,https://opengov.seoul.go.kr/sanction/34975759?from=policy&tid=32175351,2025-12-11,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/3_original.hwpx,
4,예산 변경사용 승인 요청,https://opengov.seoul.go.kr/sanction/34969281?from=policy&tid=32175351,2025-12-10,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/4_original.hwpx,
5,청년수당 예산확보를 위한예산변경 계획,https://opengov.seoul.go.kr/sanction/34972367?from=policy&tid=32175351,2025-12-10,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/5_original.hwpx,
6,서울 청년수당 정책 개편 TF(제3차) 자문 수당 지급,https://opengov.seoul.go.kr/sanction/34907131?from=policy&tid=32175351,2025-12-03,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/6_original.hwpx,
7,서울 청년수당 정책 개편 TF(제3차) 결과 보고,https://opengov.seoul.go.kr/sanction/34900991?from=policy&tid=32175351,2025-12-02,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/7_original.hwpx,
8,[회신] '25년 청년월세지원 2차 지급심사 중복조회(청년수당),https://opengov.seoul.go.kr/sanction/34853203?from=policy&tid=32175351,2025-11-27,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/8_original.hwpx,
9,[회신] 2025 「으뜸관악 청년통장」신청자 유사사업 중복지원 조회 요청,https://opengov.seoul.go.kr/sanction/34857249?from=policy&tid=32175351,2025-11-27,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/9_original.hwpx,
10,2025년 서울 청년수당 11월분 지급(2차),https://opengov.seoul.go.kr/sanction/34819732?from=policy&tid=32175351,2025-11-24,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/10_original.hwpx,
11,[회신] 규제 개선 제안 안건에 대한 부서 검토 의견 요청,https://opengov.seoul.go.kr/sanction/34827781?from=policy&tid=32175351,2025-11-24,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/11_original.hwpx,
12,예비비 사용 승인 요청,https://opengov.seoul.go.kr/sanction/34813382?from=policy&tid=32175351,2025-11-21,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/12_original.hwpx,
13,청년수당 예산확보를 위한예비비 사용계획,https://opengov.seoul.go.kr/sanction/34798851?from=policy&tid=32175351,2025-11-20,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/13_original.hwpx,
14,서울 청년수당 정책 개편 자문회의(3차 TF) 계획,https://opengov.seoul.go.kr/sanction/34704571?from=policy&tid=32175351,2025-11-07,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/14_original.hwpx,
15,2025년 서울 청년수당 10월분 추가지급,https://opengov.seoul.go.kr/sanction/34706137?from=policy&tid=32175351,2025-11-07,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/15_original.hwpx,
16,서울 청년수당 정책 개편 TF(제2차) 결과 보고,https://opengov.seoul.go.kr/sanction/34702856?from=policy&tid=32175351,2025-11-07,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/16_original.hwpx,
17,2025년 서울 청년수당 10월분 지급(2차),https://opengov.seoul.go.kr/sanction/34563033?from=policy&tid=32175351,2025-10-21,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/17_original.hwpx,
18,서울 청년수당 정책 개편 TF 운영계획(제2차),https://opengov.seoul.go.kr/sanction/34566336?from=policy&tid=32175351,2025-10-21,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/18_original.hwpx,
19,[회신] 성동구 미취업 청년 자격증 응시료 지원사업 중복지원 조회(10월),https://opengov.seoul.go.kr/sanction/34551796?from=policy&tid=32175351,2025-10-20,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/19_original.hwpx,
20,2025년 서울 청년수당 9월 지급분 반납품의(2건),https://opengov.seoul.go.kr/sanction/34462403?from=policy&tid=32175351,2025-10-01,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),,
21,세외수입 결정결의 등록,https://opengov.seoul.go.kr/sanction/34456130?from=policy&tid=32175351,2025-10-01,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/21_original.hwpx,
22,[회신] '25년 청년월세지원 1차 지급심사 중복조회(청년수당),https://opengov.seoul.go.kr/sanction/34404455?from=policy&tid=32175351,2025-09-24,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/22_original.hwpx,
23,[회신] 서울시 청년수당 참여기간 확인 요청,https://opengov.seoul.go.kr/sanction/34407730?from=policy&tid=32175351,2025-09-24,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/23_original.hwpx,
24,2025년 서울 청년수당 9월분 지급(2차),https://opengov.seoul.go.kr/sanction/34387463?from=policy&tid=32175351,2025-09-22,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/24_original.hwpx,
25,2025년 서울 청년수당 9월분 지급(1차),https://opengov.seoul.go.kr/sanction/34383261?from=policy&tid=32175351,2025-09-22,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/25_original.hwpx,
26,공공데이터 제공거부결정 통보서,https://opengov.seoul.go.kr/sanction/34356662?from=policy&tid=32175351,2025-09-17,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/26_original.hwpx,
27,[회신] 성동구 미취업 청년 자격증 응시료 지원사업 중복지원 조회(9월),https://opengov.seoul.go.kr/sanction/34346303?from=policy&tid=32175351,2025-09-16,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/27_original.hwpx,
28,정보공개 결정 통지서 (15163140),https://opengov.seoul.go.kr/sanction/34318036?from=policy&tid=32175351,2025-09-12,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/28_original.hwpx,
29,2025년 9월 서울 청년수당 중복참여 여부 조회 요청(희망두배 청년통장),https://opengov.seoul.go.kr/sanction/34280955?from=policy&tid=32175351,2025-09-08,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/29_original.hwpx,
30,2025년 9월 서울 청년수당 중복참여 여부 조회 요청(서울시 청년 월세 지원),https://opengov.seoul.go.kr/sanction/34280646?from=policy&tid=32175351,2025-09-08,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/30_original.hwpx,
31,[회신] 2025년 서울시 희망두배 청년통장 신청대상 사업 참여 확인 요청,https://opengov.seoul.go.kr/sanction/34262369?from=policy&tid=32175351,2025-09-04,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/31_original.hwpx,
32,2025년 서울 청년수당 2차 모집 선정 결과,https://opengov.seoul.go.kr/sanction/34246280?from=policy&tid=32175351,2025-09-03,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/32_original.hwpx,
33,2025년 서울 청년수당 7월분 추가지급,https://opengov.seoul.go.kr/sanction/34204075?from=policy&tid=32175351,2025-08-28,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/33_original.hwpx,
34,서울 청년수당 정책 개편 TF(제1차) 결과 보고,https://opengov.seoul.go.kr/sanction/34195802?from=policy&tid=32175351,2025-08-27,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/34_original.hwpx,
35,2025년 서울 청년수당 8월분 지급(1차),https://opengov.seoul.go.kr/sanction/34185508?from=policy&tid=32175351,2025-08-26,미래청년기획관 청년사업담당관,박인현 (02-2133-4316),attachments/35_original.hwpx,
